"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,23411.8247355685,1900.9641024331,1166.92955351923,85.7279454166296,159776062.573081,NA,NA,92.1524016274294,0,0.363529560035097,96.427341482753,0,0.236490145264679
2002,41831.6906859651,3291.16147677893,2642.31248877058,155.495760121417,292031575.465282,NA,NA,92.1524016274294,0,0.363529560035097,96.427341482753,0,0.236490145264679
2003,48190.6708618103,3762.89915426136,3318.52784779366,188.295563525711,339088520.191925,NA,NA,92.1524016274294,0,0.363529560035097,96.427341482753,0,0.236490145264679
2004,40346.3913378861,3180.36831848664,2441.64502157488,146.99021577609,280193656.583443,NA,NA,92.1524016274294,0,0.363529560035097,96.427341482753,0,0.236490145264679
2005,35687.0970108666,2833.18963814046,2073.88362907403,129.784600507649,247382305.732946,NA,NA,92.1524016274294,0,0.363529560035097,96.427341482753,0,0.236490145264679
2006,57738.5444821531,4434.31086912215,4158.74453431588,229.62844669708,408120117.152955,0.0104545454545455,0.148181818181818,92.1524016274294,0,0.363529560035097,96.427341482753,0,0.236490145264679
2007,36234.8907953979,2834.0744207389,2015.54576201952,130.571393977732,250613008.740751,0.01125,0.147083333333333,92.1524016274294,0,0.363529560035097,96.427341482753,0,0.236490145264679
2008,50107.8014776715,3902.73719907641,3355.07688410572,196.740993744426,350833378.292031,0.0156666666666667,0.163611111111111,92.1524016274294,0,0.363529560035097,96.427341482753,0,0.236490145264679
2009,43466.7795293477,3403.81829316099,2934.69496066513,169.383447799496,304991575.444796,0.0106666666666667,0.14625,92.1524016274294,0,0.363529560035097,96.427341482753,0,0.236490145264679
2010,41043.6781127613,3230.83007875398,2814.65611496202,162.394611460003,288356574.338417,0.0123846153846154,0.129615384615385,92.1524016274294,0,0.363529560035097,96.427341482753,0,0.236490145264679
2011,59133.949273533,4634.77601437903,4228.7480598299,238.492648000273,417734425.074025,0.0124090909090909,0.138636363636364,92.1524016274294,0,0.363529560035097,96.427341482753,0,0.236490145264679
2012,48795.6873116979,3808.55261546645,3352.0129633669,185.786564733831,342549460.664752,0.0130833333333333,0.16,92.1524016274294,0,0.363529560035097,96.427341482753,0,0.236490145264679
2013,41159.8584397728,3213.50177740286,2341.44964375048,152.111570096494,285509739.033697,0.0103333333333333,0.154444444444444,92.1524016274294,0,0.363529560035097,96.427341482753,0,0.236490145264679
2014,45126.3458516388,3539.99822121126,2786.22865122951,167.088444784988,314935192.434288,0.0105714285714286,0.124285714285714,92.1524016274294,0,0.363529560035097,96.427341482753,0,0.236490145264679
2015,31356.1538402693,2449.30165253721,1528.30872919586,108.669947551656,214911110.435788,NA,NA,92.1524016274294,0,0.363529560035097,96.427341482753,0,0.236490145264679
